qc_id,coordinates y,coordinates x,pharmacy,city,address,phone number,carries mifegymiso,kept in stock,charge for it?,charge for it?_1,icon_url
65,43.18586847,-79.20998281,PharmaSave,St Catherines ,574 Carlton St,(289) 479-5690,Yes - next day delivery,,No,,./0.png
66,43.18788672,-79.20680707,PharmaSave,St Catherines ,595 Carlton St,(905) 934-2222,Yes - next day delivery,,No,,./0.png
67,43.19685271,-79.26055652,PharmaSave,St Catherines ,101 Lakeport Rd,(905) 646-3335,Yes - next day delivery,,No,,./0.png
68,43.21295366,-79.22370991,PharmaSave,St Catherines ,260 Lakeshore Rd,(905) 934-2023,Yes - next day delivery,,No,,./0.png
69,43.17097331,-79.26283764,Pharmasave,St Catherines ,"318 Ontario St, Unit E",(905) 687-7283,Yes - next day delivery,,No,,./0.png
70,43.16377309,-79.23022533,PharmaSave,St Catherines ,"145 Queenston St, Unit 104",(905) 641-0707,Yes - next day delivery,,No,,./0.png
71,43.18912271,-79.22721501,PharmaSave,St Catherines ,400 Scott St,(905) 934-3333,Yes - next day delivery,,No,,./0.png
72,43.16535356,-79.24222609,PharmaSave,St Catherines ,164 Welland Ave,(905) 988-1919,Yes - next day delivery,,No,,./0.png
73,43.1641305,-79.23355932,Queen's Pharmacy,St Catherines ,"112 Queenston St, Unit M1",(905) 688-6363,Yes - next day delivery,,No,,./0.png
74,43.15481169,-79.26621605,Real Canadian Superstore,St Catherines ,411 Louth St,(905) 984-4179,Yes - next day delivery,,No,,./0.png
75,43.17967891,-79.23114582,Remedy'sRx Pharmacy,St Catherines ,"359 Carlton St, Unit 6 ",(289) 362-6026,Yes - next day delivery,,No,,./0.png
76,43.2008746,-79.25292374,Remedy'sRx Pharmacy,St Catherines ,"33 Lakeshore Rd, Unit 28",(905) 938-9998,Yes - next day delivery,,Unsure - resources provided,,./0.png
77,43.17072802,-79.23452344,Remedy'sRx Pharmacy,St Catherines ,"140 Niagara St, Unit 106",(905) 682-5210,Yes - next day delivery,,No,,./0.png
78,43.1644851,-79.23375945,Rexall Pharmacy ,St Catherines ,111 Queenston St,(905) 641-0101,Yes - next day delivery,,No,,./0.png
80,43.17800917,-79.24023573,Sam's Pharmacy,St Catherines ,"284 Geneva St, Unit 5",(905) 646-2225,Yes,,No,,./0.png
81,43.17881996,-79.20974313,Shoppers Drug Mart,St Catherines ,"286 Bunting Rd, Unit 22",(905) 688-6733,Yes,,No - though sounded unsure,,./0.png
82,43.17261082,-79.2518653,Shoppers Drug Mart,St Catherines ,"125 Carlton St, Unit 8A",(905) 688-2132,Yes - next day delivery,,No,,./0.png
83,43.15717603,-79.26555455,Shoppers Drug Mart,St Catherines ,"275 Fourth Ave, Bldg E",(905) 641-2244,Yes - next day delivery,,No,,./0.png
84,43.13704985,-79.22461217,Shoppers Drug Mart,St Catherines ,221 Glendale Ave,(905) 641-8855,Yes - next day delivery,,No,,./0.png
85,43.20107849,-79.22070705,Shoppers Drug Mart,St Catherines ,"500 Grantham Ave, Suite 486",(905) 937-5050,Yes - next day delivery,,Unsure - resources provided,,./0.png
86,43.1471737,-79.21502313,Shoppers Drug Mart,St Catherines ,181 Hartzel Rd,(905) 641-1011,Yes - next day delivery,,No,,./0.png
87,43.20550701,-79.24433496,Shoppers Drug Mart,St Catherines ,105 Lakeshore Rd,(905) 934-5545,Yes,,No,,./0.png
88,43.19580027,-79.25921222,Shoppers Drug Mart,St Catherines ,600 Ontario St,(905) 937-3532,Yes,,No,,./0.png
89,43.13339513,-79.25475237,Shoppers Drug Mart,St Catherines ,245 Pelham Rd,(905) 688-5743,Yes,,No,,./0.png
90,43.19077701,-79.22726562,Shoppers Drug Mart,St Catherines ,"387 Scott St, Unit 1",(905) 934-4260,Yes,,No,,./0.png
91,43.14234248,-79.23885906,Total Health Pharmacy,St Catherines ,"209 Glenridge Ave, Unit 6",(905) 984-6345,Yes - next day delivery,,No,,./0.png
92,43.13826082,-79.22277622,Walmart Pharmacy,St Catherines ,221 Glendale Ave,(905) 646-1914,Yes - next day delivery,,No,,./0.png
93,43.15182764,-79.26776257,Walmart Pharmacy,St Catherines ,420 Vansickle Rd,(905) 687-1182,Yes - next day delivery,,Unsure - resources provided,,./0.png
94,43.17798181,-79.21216373,Walmart Pharmacy,St Catherines ,525 Welland Ave,(905) 685-6569,Yes - next day delivery,,Unsure - resources provided,,./0.png
95,43.13692908,-79.22430962,Zehrs,St Catherines ,221 Glendale Ave,(905) 984-3394,Yes - next day delivery,,No,,./0.png
96,43.12419183,-79.19978579,Pharma Viva Pharmacy ,Thorold,6 Clairmont St,(905) 680-7077,Yes - next day delivery,,Unsure - resources provided,,./0.png
97,43.12551497,-79.20440065,Rexall Pharmacy ,Thorold,"9 Pine St N, Unit 1A",(905) 227-0707,Yes - next day delivery,,Unsure - resources provided,,./0.png
98,43.12520126,-79.2073504,Thorold Medical Pharmacy,Thorold,60 Albert St W,(905) 227-6881,Yes - next day delivery,,No,,./0.png
99,43.15196573,-79.39200913,IDA Pharmacy ,Vineland,3387 King St,(905) 562-4661,Yes - next day delivery,,Unsure - resources provided,,./0.png
100,42.99486066,-79.23148407,East Main Pharmacy ,Welland,816 East Main St,(905) 735-1500,Yes,,Unsure - resources provided,,./0.png
101,42.99923499,-79.26797242,Prince Charles Pharmacy,Welland,555 Prince Charles Dr N,(905) 735-8200,Yes - next day delivery,,No,,./0.png
102,42.98560402,-79.23861264,Remedy'sRx Pharmacy,Welland,"390 Lincoin St, Unit B",(905) 788-2700,Yes - next day delivery,,No,,./0.png
103,42.98406657,-79.25161439,Rexall Pharmacy ,Welland,399 King St,(905) 732-9611,Yes,,No,,./0.png
104,43.00319439,-79.27208388,Rexall Pharmacy ,Welland,325 Thorold Rd,(905) 732-1663,Yes,,No,,./0.png
105,42.99354262,-79.2452889,Rose City Pharmacy,Welland,188 East Main St,(905) 735-7505,Yes - next day delivery,,No,,./0.png
106,43.01512603,-79.24831265,Shoppers Drug Mart,Welland,"800 Niagara St N, Unit H2",(905) 735-7525,Yes - next day delivery,,No,,./0.png
107,42.97537973,-79.24013496,Shoppers Drug Mart,Welland,825 Ontario Rd,(905) 788-2111,Yes - next day delivery,,No,,./0.png
108,43.00386031,-79.28690788,Shoppers Drug Mart,Welland,595 South Pelham Rd,(905) 735-5644,Yes - next day delivery,,No,,./0.png
109,42.9834071,-79.25795294,Welland Drugstore,Welland,"95 Lincoln St, Unit 1 ",(365) 364-7246,Stated they could order but sounded hesitant,,,,./0.png
110,43.02171557,-79.2503517,Whole Health Niagara Pharmacy,Welland,"905 Niagara St, Unit 1",(905) 361-1449,Yes - next day delivery,,Unsure - resources provided,,./0.png
111,43.01745961,-79.25146279,Zehrs,Welland,821 Niagara St,(905) 732-9010,Yes - next day delivery,,Unsure - resources provided,,./0.png
112,43.01249458,-79.25234209,Niagara Street Pharmacy,Welland ,545 Niagara St,(905) 735-1400,Yes - next day delivery,,No,,./0.png
